notes_total,notes_played,rests,measures,chord_notes,pitch_span,pitch_std,avg_duration,notes_per_measure,chord_ratio,avg_chord_cluster_size,rest_ratio,unique_pitch_count,notes_per_pitch_class,notes_per_measure_per_pitch_class,span_per_unique_pitch,avg_pitch_interval,max_pitch_interval,large_leap_ratio,tempo_mean,notes_per_second_proxy,notes_per_second_per_pitch_class,duration_std,duration_cv_proxy,tempo_duration_interaction,rhythmic_variety,accidental_ratio,key_signature_complexity,time_signature_changes,piece_id,work,book,book_code,composer,henle_difficulty,difficulty_label
28.0,26.0,2.0,16.0,0.0,31.0,12.162606385262997,2.2857142857142856,1.625,0.0,1.0,0.07142857142857142,10.0,2.6,0.1625,3.1,2.56,24.0,0.04,0.0,0.0,0.0,0.6998542122237652,0.21299910806810246,0.0,2.0,0.0,0.0,0.0,1,"Six Unison Melodies, no. 1","Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
100.0,100.0,0.0,32.0,0.0,34.0,12.26834952224626,1.28,3.125,0.0,1.0,0.0,14.0,7.142857142857143,0.22321428571428573,2.4285714285714284,2.01010101010101,21.0,0.010101010101010102,0.0,0.0,0.0,0.664529909033446,0.291460486418178,0.0,3.0,0.0,0.0,0.0,2,"Six Unison Melodies, no. 2","Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
54.0,54.0,0.0,24.0,0.0,19.0,6.314353192641873,1.7777777777777777,2.25,0.0,1.0,0.0,10.0,5.4,0.225,1.9,1.7924528301886793,5.0,0.0,0.0,0.0,0.0,1.030402055055078,0.3709447398198281,0.0,3.0,0.0,0.0,0.0,3,"Six Unison Melodies, no. 3","Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
44.0,44.0,0.0,16.0,0.0,30.0,12.150230416479916,1.4545454545454546,2.75,0.0,1.0,0.0,10.0,4.4,0.275,3.0,2.2093023255813953,25.0,0.023255813953488372,0.0,0.0,0.0,0.721568539381252,0.2939723678960656,0.0,3.0,0.0,0.0,0.0,4,"Six Unison Melodies, no. 4","Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
110.0,110.0,0.0,42.0,0.0,34.0,12.253169601750242,2.290909090909091,2.619047619047619,0.0,1.0,0.0,14.0,7.857142857142857,0.1870748299319728,2.4285714285714284,1.9174311926605505,27.0,0.009174311926605505,0.0,0.0,0.0,1.521634614756922,0.46237515918028016,0.0,5.0,0.0,0.0,0.0,5,"Six Unison Melodies, no. 5","Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
48.0,46.0,2.0,18.0,0.0,31.0,12.135965701833046,1.5,2.5555555555555554,0.0,1.0,0.041666666666666664,10.0,4.6,0.25555555555555554,3.1,2.2222222222222223,24.0,0.022222222222222223,0.0,0.0,0.0,0.8660254037844386,0.34641016151377546,0.0,3.0,0.0,0.0,0.0,6,"Six Unison Melodies, no. 6","Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
60.0,56.0,4.0,28.0,0.0,19.0,6.358647494489978,1.8666666666666667,2.0,0.0,1.0,0.06666666666666667,10.0,5.6,0.2,1.9,2.090909090909091,7.0,0.03636363636363636,0.0,0.0,0.0,0.8459051693633014,0.2950831986151051,0.0,4.0,0.0,0.0,0.0,7,Dotted Notes,"Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
68.0,60.0,8.0,32.0,0.0,21.0,6.509906980048862,1.8823529411764706,1.875,0.0,1.0,0.11764705882352941,12.0,5.0,0.15625,1.75,1.3559322033898304,12.0,0.01694915254237288,0.0,0.0,0.0,0.899826972986962,0.3121848681791501,0.0,3.0,0.0,0.0,0.0,8,Repetition (1),"Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
72.0,70.0,2.0,28.0,0.0,19.0,6.316806219627647,1.5555555555555556,2.5,0.0,1.0,0.027777777777777776,10.0,7.0,0.25,1.9,1.6231884057971016,12.0,0.014492753623188406,0.0,0.0,0.0,0.8642416214502248,0.33818150404574016,0.0,3.0,0.0,0.0,0.0,9,Syncopation (1),"Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
92.0,60.0,32.0,48.0,0.0,19.0,6.358961305817869,1.565217391304348,1.25,0.0,1.0,0.34782608695652173,10.0,6.0,0.125,1.9,1.9322033898305084,12.0,0.01694915254237288,0.0,0.0,0.0,0.8508863387296055,0.3317014540810327,0.0,3.0,0.0,1.0,0.0,10,With Alternate Hands,"Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
92.0,88.0,4.0,32.0,0.0,22.0,7.967132897822795,1.391304347826087,2.75,0.0,1.0,0.043478260869565216,10.0,8.8,0.275,2.2,1.8160919540229885,14.0,0.011494252873563218,0.0,0.0,0.0,0.7064381221422574,0.29541957835039856,0.0,3.0,0.0,0.0,0.0,11,Parallel Motion,"Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
126.0,118.0,8.0,36.0,0.0,24.0,9.398836163564708,1.1746031746031746,3.2777777777777777,0.0,1.0,0.06349206349206349,10.0,11.8,0.3277777777777778,2.4,1.8888888888888888,19.0,0.008547008547008548,0.0,0.0,0.0,0.37962732517782216,0.17457314953432695,0.0,2.0,0.0,0.0,1.0,12,Reflection,"Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
78.0,70.0,8.0,32.0,0.0,31.0,9.004035376497834,1.2307692307692308,2.1875,0.0,1.0,0.10256410256410256,17.0,4.117647058823529,0.12867647058823528,1.8235294117647058,2.0869565217391304,12.0,0.043478260869565216,0.0,0.0,0.0,0.4783271309276315,0.21442250696755896,0.0,3.0,0.0,0.0,0.0,13,Change of Position,"Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
76.0,68.0,8.0,32.0,0.0,26.0,6.890141394986505,1.6842105263157894,2.125,0.0,1.0,0.10526315789473684,16.0,4.25,0.1328125,1.625,2.671641791044776,10.0,0.08955223880597014,0.0,0.0,0.0,0.464829519280413,0.1731717816927029,0.0,2.0,0.0,0.0,0.0,14,Question and Answer,"Mikrokosmos, Volumes I-II",1,Béla Bártok,Piano 1 easy,beginner
